Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Prenatal exposure to tetrachloroethylene-contaminated drinking water and the risk of adverse birth outcomes.","/pubmed/18560539","Aschengrau A, Weinberg J, Rogers S, Gallagher L, Winter M, Vieira V, Webster T, Ozonoff D.","Environ Health Perspect. 2008 Jun;116(6):814-20. doi: 10.1289/ehp.10414.","Environ Health Perspect.  2008","PubMed","citation","PMID:18560539 | PMCID:PMC2430239","pubmed","18560539","create date:2008/06/19 | first author:Aschengrau A",
"Risk of learning and behavioral disorders following prenatal and early postnatal exposure to tetrachloroethylene (PCE)-contaminated drinking water.","/pubmed/18353612","Janulewicz PA, White RF, Winter MR, Weinberg JM, Gallagher LE, Vieira V, Webster TF, Aschengrau A.","Neurotoxicol Teratol. 2008 May-Jun;30(3):175-85. doi: 10.1016/j.ntt.2008.01.007.","Neurotoxicol Teratol.  2008","PubMed","citation","PMID:18353612 | PMCID:PMC2494864","pubmed","18353612","create date:2008/03/21 | first author:Janulewicz PA",
"Microalbuminuria and the risk for early progressive renal function decline in type 1 diabetes.","/pubmed/17329575","Perkins BA, Ficociello LH, Ostrander BE, Silva KH, Weinberg J, Warram JH, Krolewski AS.","J Am Soc Nephrol. 2007 Apr;18(4):1353-61.","J Am Soc Nephrol.  2007","PubMed","citation","PMID:17329575","pubmed","17329575","create date:2007/03/03 | first author:Perkins BA",
"A higher dose of vitamin d reduces the risk of falls in nursing home residents: a randomized, multiple-dose study.","/pubmed/17302660","Broe KE, Chen TC, Weinberg J, Bischoff-Ferrari HA, Holick MF, Kiel DP.","J Am Geriatr Soc. 2007 Feb;55(2):234-9.","J Am Geriatr Soc.  2007","PubMed","citation","PMID:17302660","pubmed","17302660","create date:2007/02/17 | first author:Broe KE",
"Comparison of the effects of a new conjugated oral estrogen, estradiol-3beta-glucoside, with oral micronized 17beta-estradiol in postmenopausal women.","/pubmed/17002918","Sweeney AT, Tangpricha V, Weinberg J, Malabanan AO, Chimeh FN, Holick MF.","Transl Res. 2006 Oct;148(4):164-70.","Transl Res.  2006","PubMed","citation","PMID:17002918","pubmed","17002918","create date:2006/09/28 | first author:Sweeney AT",
"Method for mapping population-based case-control studies: an application using generalized additive models.","/pubmed/16764727","Webster T, Vieira V, Weinberg J, Aschengrau A.","Int J Health Geogr. 2006 Jun 9;5:26.","Int J Health Geogr.  2006","PubMed","citation","PMID:16764727 | PMCID:PMC1526437","pubmed","16764727","create date:2006/06/13 | first author:Webster T",
"Cluster detection methods applied to the Upper Cape Cod cancer data.","/pubmed/16164750","Ozonoff A, Webster T, Vieira V, Weinberg J, Ozonoff D, Aschengrau A.","Environ Health. 2005 Sep 15;4:19.","Environ Health.  2005","PubMed","citation","PMID:16164750 | PMCID:PMC1242352","pubmed","16164750","create date:2005/09/17 | first author:Ozonoff A",
"Spatial analysis of lung, colorectal, and breast cancer on Cape Cod: an application of generalized additive models to case-control data.","/pubmed/15955253","Vieira V, Webster T, Weinberg J, Aschengrau A, Ozonoff D.","Environ Health. 2005 Jun 14;4:11.","Environ Health.  2005","PubMed","citation","PMID:15955253 | PMCID:PMC1183231","pubmed","15955253","create date:2005/06/16 | first author:Vieira V",
"Downsizing and health at the United States Department of Energy.","/pubmed/14571512","Pepper L, Messinger M, Weinberg J, Campbell R.","Am J Ind Med. 2003 Nov;44(5):481-91.","Am J Ind Med.  2003","PubMed","citation","PMID:14571512","pubmed","14571512","create date:2003/10/23 | first author:Pepper L",
"Good study design and analysis plans as features of ethical research with humans.","/pubmed/14870739","Weinberg JM, Kleinman KP.","IRB. 2003 Sep-Oct;25(5):11-4. No abstract available. ","IRB.  2003","PubMed","citation","PMID:14870739","pubmed","14870739","create date:2004/02/12 | first author:Weinberg JM",
"Prevalence of allergy symptoms and associated medication use in a sample of college seniors.","/pubmed/12416938","Howland J, Weinberg J, Smith E, Laramie A, Kupka M.","J Am Coll Health. 2002 Sep;51(2):67-70.","J Am Coll Health.  2002","PubMed","citation","PMID:12416938","pubmed","12416938","create date:2002/11/06 | first author:Howland J",
"Bone mineral density assessment: comparison of dual-energy X-ray absorptiometry measurements at the calcaneus, spine, and hip.","/pubmed/11940729","Sweeney AT, Malabanan AO, Blake MA, Weinberg J, Turner A, Ray P, Holick MF.","J Clin Densitom. 2002 Spring;5(1):57-62.","J Clin Densitom.  2002","PubMed","citation","PMID:11940729","pubmed","11940729","create date:2002/04/10 | first author:Sweeney AT",
